= Point =          = X Axis =          = Y Axis =
 1                  2.26666661584058    108.008727919181
 2                  2.56183903343552    93.2654551318322
 3                  2.85701145103047    82.2080005413208
 4                  3.15218386862542    74.8363641476466
 5                  3.44735628622037    67.4647277539723
 6                  3.74252870381532    63.7789095571352
 7                  5.21839079179006    45.3498185729496
 8                  6.98942529735976    34.2923639824383
 9                  7.8749425501446     30.6065457856012
 10                 8.76045980292945    26.920727588764
 11                 9.0556322205244     26.920727588764
 12                 10.2363218909042    23.2349093919269
 13                 11.90805            19.85453
 14                 2.068965            115.5636
