= Point =          = X Axis =          = Y Axis =
1                   2.56183903343552    52.7214549666239
2                   2.85701145103047    49.0356367697867
3                   4.03770112141027    34.2923639824383
4                   5.21839079179006    26.920727588764
5                   5.80873562697996    23.2349093919269
6                   6.98942529735976    19.5490911950898
7                   7.28459771495471    19.5490911950898
8                   8.76045980292945    15.8632729982527
9                   9.0556322205244     15.8632729982527
10                  11.121839143689     12.1774548014156
11                  11.417011561284     12.1774548014156
12                  11.7121839788789    12.1774548014156
13                  2.068965            65.16363
 14                 9.931034            13.74544
