= Point =          = X Axis =          = Y Axis =
1                   2.26666661584058    137.495273493878
2                   2.56183903343552    119.066182509692
3                   2.85701145103047    108.008727919181
4                   3.15218386862542    93.2654551318322
5                   3.74252870381532    82.2080005413208
6                   4.03770112141027    74.8363641476466
7                   5.80873562697996    52.7214549666239
8                   6.69425287976481    45.3498185729496
9                   7.28459771495471    41.6640003761125
10                  8.17011496773955    37.9781821792754
11                  9.0556322205244     34.2923639824383
12                  10.2363218909042    30.6065457856012
13                  11.417011561284     26.920727588764
14                  2.022988            148.6545
15                  11.95402            24.94544
