= Point =          = X Axis =          = Y Axis =
1                   2.56183903343552    67.4647277539723
2                   2.85701145103047    60.0930913602981
3                   3.15218386862542    52.7214549666239
4                   3.44735628622037    49.0356367697867
5                   3.74252870381532    45.3498185729496
6                   4.03770112141027    41.6640003761125
7                   6.39908046216986    26.920727588764
8                   7.28459771495471    23.2349093919269
9                   8.76045980292945    19.5490911950898
10                  9.0556322205244     19.5490911950898
11                  10.8266667260941    15.8632729982527
12                  11.121839143689     15.8632729982527
13                  11.417011561284     15.8632729982527
14                  2.068965            81.96363
 15                 11.90805            14.25453
